L1,L2,L3,L4,L5,Mirapolis L4,"Ответ Агроэко L4 в «Агроэко»
Офис
Масс","ФИО ""Агроэко""","Комментарии/уточнения
Офис
Масс
Первичные",Комментарии со встреч,Комментарии со встреч (Адаптация/Подбор - Офис),"Проблема текущего состояния
Офис
Масс
Первичные","Предожение по решению /улучшению HCM 
Офис
Масс
Первичные",Функциональные требования,Инициирующее событие,Исполнитель,Описание шага,Действие в системе,Функциональные требования к процессу L2,"Функциональные требования к процессу L2 (старая сокращенная версия, оставила для того, чтобы проще было брать формулировки для редактирования колонки S)",Валидация,Комментарий (нужна доработка/есть в коробке),status
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.1. Получение электронной подписи через форму,Частично,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",Реализовано в коробочном решении,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.2. Прием сканированных подписанных документов,Да,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.3. Фиксация даты получения согласия,Да,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.4. Проверка корректности заполнения,Да,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.1. Регистрация согласий в системе,2.4.3.1.1. Внесение данных в CRM/ATS систему,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,Реализовано в коробочном решении,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать______________надо собирать","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.1. Регистрация согласий в системе,2.4.3.1.2. Привязка документа к профилю кандидата,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать______________надо собирать","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.1. Регистрация согласий в системе,2.4.3.1.3. Установка напоминаний о сроках действия,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать______________надо собирать","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.2. Обеспечение безопасного хранения,2.4.3.2.1. Размещение в защищенном хранилище документов,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,"Хранение реализовано так, что доступ к документам можно давать только определенным ролям. Таким образом, только ответственные лица смогут получить доступ к хранимым данным",,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать и хранить ______________надо собирать и хранить","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.2. Обеспечение безопасного хранения,2.4.3.2.2. Ограничение доступа к персональным данным,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать и хранить ______________надо собирать и хранить","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.2. Обеспечение безопасного хранения,2.4.3.2.3. Ведение журнала доступа к персональным данным,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать и хранить ______________надо собирать и хранить","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.1. Отбор кандидатов для интервью,2.5.1.1.1. Занесение релевантных кандидатов в базу (ATS/CRM),Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,"Офис: программа отбирает с HH по определенным параметрам кандидатов и передает в базу ""Интервью с рекрутером"". Программа отвечает в канве заданных параметров (Cookie)
Комментарий от Ильи Ефимова: кандидат должен передаваться со статусом ""Отобран"", а уже потом нужно запрашивать ПДн, после чего планировать интервью. Процесс реализуем с помощью разработки
",,"Офис: вручную
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу______________0______________","PR13. Хранение профиля кандидата: интересующая должность, ФИО, дата рождения, контакты, гражданство, опыт, навыки и т.п.
PR14. Несколько учебных заведений со специальностью.
PR15. Данные о водительских правах, удостоверении тракториста-машиниста и др.
PR16. Несколько мест работы: периоды, организация, должность, обязанности, причина увольнения, уровень зарплаты.
PR17. Учёт: группа инвалидности, наличие свиней в ЛПХ (для агрохолдинга), семейное положение, воинская обязанность, судимости, админ.ответственность, вакцинация от COVID-19.
PR18. Блок о ближайших родственниках и родстве с сотрудниками компании.
QA1. Блок «Общие сведения» (интересующая должность, ФИО, ФИО до смены, паспортные данные, адреса, телефоны, e-mail, ИНН, гражданство и т.п.).
QA2. Основное образование (уровень + табличный блок «период — вуз — факультет/специальность — № диплома, дата»).
QA3. Дополнительное образование (таблица «период — организация — тема/специализация»).
QA4. Профессиональные навыки (ПК, иностранные языки и др.).
QA5. Блок про рекомендателя (кто порекомендовал, степень родства, ФИО, место работы, должность).
QA6. Свободное текстовое поле «Дополнительная информация о Вас, успехи, достижения» + источник обращения (газета, радио, интернет, сайт, служба занятости, рекомендации и т.п.).
QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.1. Отбор кандидатов для интервью,2.5.1.1.2. Ранжирование кандидатов по приоритету,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: вручную
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу______________0______________","PR13. Хранение профиля кандидата: интересующая должность, ФИО, дата рождения, контакты, гражданство, опыт, навыки и т.п.
PR14. Несколько учебных заведений со специальностью.
PR15. Данные о водительских правах, удостоверении тракториста-машиниста и др.
PR16. Несколько мест работы: периоды, организация, должность, обязанности, причина увольнения, уровень зарплаты.
PR17. Учёт: группа инвалидности, наличие свиней в ЛПХ (для агрохолдинга), семейное положение, воинская обязанность, судимости, админ.ответственность, вакцинация от COVID-19.
PR18. Блок о ближайших родственниках и родстве с сотрудниками компании.
QA1. Блок «Общие сведения» (интересующая должность, ФИО, ФИО до смены, паспортные данные, адреса, телефоны, e-mail, ИНН, гражданство и т.п.).
QA2. Основное образование (уровень + табличный блок «период — вуз — факультет/специальность — № диплома, дата»).
QA3. Дополнительное образование (таблица «период — организация — тема/специализация»).
QA4. Профессиональные навыки (ПК, иностранные языки и др.).
QA5. Блок про рекомендателя (кто порекомендовал, степень родства, ФИО, место работы, должность).
QA6. Свободное текстовое поле «Дополнительная информация о Вас, успехи, достижения» + источник обращения (газета, радио, интернет, сайт, служба занятости, рекомендации и т.п.).
QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.1. Отбор кандидатов для интервью,2.5.1.1.3. Формирование списка на первичное интервью,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: вручную
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу______________0______________","PR13. Хранение профиля кандидата: интересующая должность, ФИО, дата рождения, контакты, гражданство, опыт, навыки и т.п.
PR14. Несколько учебных заведений со специальностью.
PR15. Данные о водительских правах, удостоверении тракториста-машиниста и др.
PR16. Несколько мест работы: периоды, организация, должность, обязанности, причина увольнения, уровень зарплаты.
PR17. Учёт: группа инвалидности, наличие свиней в ЛПХ (для агрохолдинга), семейное положение, воинская обязанность, судимости, админ.ответственность, вакцинация от COVID-19.
PR18. Блок о ближайших родственниках и родстве с сотрудниками компании.
QA1. Блок «Общие сведения» (интересующая должность, ФИО, ФИО до смены, паспортные данные, адреса, телефоны, e-mail, ИНН, гражданство и т.п.).
QA2. Основное образование (уровень + табличный блок «период — вуз — факультет/специальность — № диплома, дата»).
QA3. Дополнительное образование (таблица «период — организация — тема/специализация»).
QA4. Профессиональные навыки (ПК, иностранные языки и др.).
QA5. Блок про рекомендателя (кто порекомендовал, степень родства, ФИО, место работы, должность).
QA6. Свободное текстовое поле «Дополнительная информация о Вас, успехи, достижения» + источник обращения (газета, радио, интернет, сайт, служба занятости, рекомендации и т.п.).
QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).",,,,,,,,,
